Volume,vw,Open,Close,High,Low,n,Date,SMA_50,SMA_200,EMA_20,MACD,RSI,ADX,Bollinger_High,Bollinger_Low,VWAP
3586783.0,399.7846,399.52,400.06,400.24,399.29,30695,2023-02-22 09:30:00,,,,,,0.0,,,
3345813.0,400.074,400.07,399.73,400.47,399.675,24863,2023-02-22 09:45:00,,,,,,0.0,,,
2732020.0,398.9947,399.72,398.325,399.81,398.15,23532,2023-02-22 10:00:00,,,,,,0.0,,,
2692892.0,398.5682,398.31,398.435,399.1864,397.91,21811,2023-02-22 10:15:00,,,,,,0.0,,,
3043909.0,398.0018,398.41,398.29,398.5701,397.621,23333,2023-02-22 10:30:00,,,,,,0.0,,,
2164770.0,398.8474,398.29,399.106,399.41,398.24,18312,2023-02-22 10:45:00,,,,,,0.0,,,
2334202.0,399.1733,399.11,398.82,399.44,398.72,15685,2023-02-22 11:00:00,,,,,,0.0,,,
1657539.0,398.9292,398.8259,399.01,399.3,398.59,12437,2023-02-22 11:15:00,,,,,,0.0,,,
1485573.0,399.1681,399.02,399.339,399.6,398.84,13283,2023-02-22 11:30:00,,,,,,0.0,,,
847309.0,399.1643,399.32,399.4399,399.45,398.9,7904,2023-02-22 11:45:00,,,,,,0.0,,,
1360467.0,399.3488,399.44,399.28,399.715,399.0836,11812,2023-02-22 12:00:00,,,,,,0.0,,,
1991657.0,399.904,399.3,399.86,400.2,399.282,14762,2023-02-22 12:15:00,,,,,,0.0,,,
1190835.0,400.192,399.87,400.4,400.47,399.87,11136,2023-02-22 12:30:00,,,,,,0.0,,,
1221112.0,400.2551,400.4,400.105,400.55,400.01,9954,2023-02-22 12:45:00,,,,,57.5109943688068,0.0,,,399.2414483940547
1023799.0,400.1539,400.11,400.2531,400.42,399.81,9313,2023-02-22 13:00:00,,,,,59.43973182299945,0.0,,,399.1938660417774
1352235.0,400.5949,400.255,400.81,400.8801,400.22,11420,2023-02-22 13:15:00,,,,,65.73793815393029,0.0,,,399.169692549335
1373618.0,400.6271,400.81,400.76,400.88,400.32,12452,2023-02-22 13:30:00,,,,,64.76555455582547,0.0,,,399.3024937953715
1116522.0,400.3573,400.76,400.3599,400.79,400.0,10648,2023-02-22 13:45:00,,,,,57.44330994467568,0.0,,,399.45317308077085
6053354.0,400.0158,400.3563,399.58,401.13,399.06,44473,2023-02-22 14:00:00,,,,,46.42516148209765,0.0,,,399.7225582823647
3377949.0,399.4216,399.5,399.19,400.41,398.6,25529,2023-02-22 14:15:00,,,399.55764500000004,,42.078645461889906,0.0,401.05651608915343,398.0587739108465,399.7472172230484
3187060.0,398.5846,399.19,398.4,399.2897,397.88,27133,2023-02-22 14:30:00,,,399.4473930952381,,34.94215465260919,0.0,401.0356109899882,397.9136790100117,399.66860969219937
4362217.0,398.3459,398.38,397.5899,399.1501,397.51,28318,2023-02-22 14:45:00,,,399.2704889909297,,29.43012772185645,0.0,401.1249749281227,397.6103050718773,399.4765218674773
2845846.0,397.6689,397.57,397.576,398.0799,397.29,25938,2023-02-22 15:00:00,,,399.10910908703164,,29.344591400759967,0.0,401.2029396318515,397.4574403681485,399.3206396109047
3197188.0,397.8768,397.57,397.58,398.39,397.43,26078,2023-02-22 15:15:00,,,398.9634796501715,,29.408174648446675,0.0,401.27546437449837,397.2994156255015,399.17761927115896
4885343.0,397.6884,397.57,397.365,398.01,397.17,32920,2023-02-22 15:30:00,,,398.81124349301234,,27.952127891665057,0.0,401.35870327353575,397.1236767264643,398.9524918294522
8831360.0,398.0205,397.38,398.58,398.71,397.02,54803,2023-02-22 15:45:00,,,398.7892203032016,-0.4814652689405534,44.63482990045488,0.0,401.35144678127216,397.0783332187279,398.7446547274622
6341789.0,401.2536,401.56,401.06,401.7096,400.76,51764,2023-02-23 09:30:00,,,399.00548503623,-0.24959560048660023,63.3096713082489,0.0,401.59942106460613,397.05435893539385,399.02193724103125
4268057.0,401.8357,401.07,401.815,402.2,401.06,38133,2023-02-23 09:45:00,,,399.27305788992237,-0.004859015794920651,66.96309160435031,22.356037466865388,401.97787128980383,396.95640871019623,399.2120990550397
3263372.0,401.1496,401.82,400.9701,402.18,400.51,30713,2023-02-23 10:00:00,,,399.434680948025,0.1195421148415221,59.788329644118924,22.271618309066437,402.14208284563745,396.9553071543626,399.31458781220925
2439093.0,401.0101,400.975,401.04,401.3,400.66,22920,2023-02-23 10:15:00,,,399.58756847678455,0.22122115320519242,60.168566739362475,22.193229091110272,402.30124338935775,396.9561566106422,399.3564127118091
